frame,width,height,batches,vertices,clears,snapshot,color_differences,depth_differences,mirror_us,snapshot_us
2,2736,4096,3,469680,5,0,0,0,0.500,0.000
3,2736,4096,4,1369392,5,0,0,0,1.000,0.000
4,2736,4096,5,2269524,5,0,0,0,1.400,0.000
5,2736,4096,6,3169548,5,0,0,0,1.800,0.000
6,2736,4096,7,3708780,5,0,0,0,2.100,0.000
7,2736,4096,8,3748332,5,0,0,0,2.700,0.000
8,2736,4096,9,3787488,5,0,0,0,2.900,0.000
9,2736,4096,10,3827196,5,0,0,0,3.100,0.000
10,2736,4096,11,3867168,5,0,0,0,3.300,0.000
11,2736,4096,12,3890280,5,0,0,0,3.500,0.000
12,2736,4096,12,3890280,5,0,0,0,3.500,0.000
13,2736,4096,12,3890280,5,0,0,0,3.500,0.000
14,2736,4096,12,3890280,5,0,0,0,3.500,0.000
15,2736,4096,12,3890280,5,0,0,0,3.500,0.000
16,2736,4096,12,3890280,5,0,0,0,3.500,0.000
17,2736,4096,12,3890280,5,0,0,0,3.500,0.000
18,2736,4096,12,3890280,5,0,0,0,3.500,0.000
19,2736,4096,12,3890280,5,0,0,0,3.500,0.000
20,2736,4096,12,3890280,5,0,0,0,3.500,0.000
21,2736,4096,12,3890280,5,0,0,0,3.500,0.000
22,2736,4096,12,3890280,5,0,0,0,3.500,0.000
23,2736,4096,12,3890280,5,0,0,0,3.500,0.000
24,2736,4096,12,3890280,5,0,0,0,3.500,0.000
25,2736,4096,12,3890280,5,0,0,0,3.500,0.000
26,2736,4096,12,3890280,5,0,0,0,3.500,0.000
27,2736,4096,12,3890280,5,0,0,0,3.500,0.000
28,2736,4096,12,3890280,5,0,0,0,3.500,0.000
29,2736,4096,12,3890280,5,0,0,0,3.500,0.000
30,2736,4096,12,3890280,5,0,0,0,3.500,0.000
31,2736,4096,12,3890280,5,0,0,0,3.500,0.000
32,2736,4096,12,3890280,5,0,0,0,3.500,0.000
33,2736,4096,12,3890280,5,0,0,0,3.500,0.000
34,2736,4096,12,3890280,5,0,0,0,3.500,0.000
35,2736,4096,12,3890280,5,0,0,0,3.500,0.000
36,2736,4096,12,3890280,5,0,0,0,3.500,0.000
37,2736,4096,12,3890280,5,0,0,0,3.500,0.000
38,2736,4096,12,3890280,5,0,0,0,3.500,0.000
39,2736,4096,12,3890280,5,0,0,0,3.500,0.000
40,2736,4096,12,3890280,5,0,0,0,3.500,0.000
41,2736,4096,12,3890280,5,0,0,0,3.500,0.000
42,2736,4096,12,3890280,5,0,0,0,3.500,0.000
43,2736,4096,12,3890280,5,0,0,0,3.500,0.000
44,2736,4096,12,3890280,5,0,0,0,3.500,0.000
45,2736,4096,12,3890280,5,0,0,0,3.500,0.000
46,2736,4096,12,3890280,5,0,0,0,3.500,0.000
47,2736,4096,12,3890280,5,0,0,0,3.500,0.000
48,2736,4096,12,3890280,5,0,0,0,3.500,0.000
49,2736,4096,12,3890280,5,0,0,0,3.500,0.000
50,2736,4096,12,3890280,5,0,0,0,3.500,0.000
51,2736,4096,12,3890280,5,0,0,0,3.500,0.000
52,2736,4096,12,3890280,5,0,0,0,3.500,0.000
53,2736,4096,12,3890280,5,0,0,0,3.500,0.000
54,2736,4096,12,3890280,5,0,0,0,3.500,0.000
55,2736,4096,12,3890280,5,0,0,0,3.500,0.000
56,2736,4096,12,3890280,5,0,0,0,3.500,0.000
57,2736,4096,12,3890280,5,0,0,0,3.500,0.000
58,2736,4096,12,3890280,5,0,0,0,3.500,0.000
59,2736,4096,12,3890280,5,0,0,0,3.500,0.000
60,2736,4096,12,3890280,5,0,0,0,3.500,0.000
61,2736,4096,12,3890280,5,0,0,0,3.500,0.000
62,2736,4096,12,3890280,5,0,0,0,3.500,0.000
63,2736,4096,12,3890280,5,0,0,0,3.500,0.000
64,2736,4096,12,3890280,5,0,0,0,3.500,0.000
65,2736,4096,12,3890280,5,0,0,0,3.500,0.000
66,2736,4096,12,3890280,5,0,0,0,3.500,0.000
67,2736,4096,12,3890280,5,0,0,0,3.500,0.000
68,2736,4096,12,3890280,5,0,0,0,3.500,0.000
69,2736,4096,12,3890280,5,0,0,0,3.500,0.000
70,2736,4096,12,3890280,5,0,0,0,3.500,0.000
71,2736,4096,12,3890280,5,0,0,0,3.500,0.000
72,2736,4096,12,3890280,5,0,0,0,3.500,0.000
73,2736,4096,12,3890280,5,0,0,0,3.500,0.000
74,2736,4096,12,3890280,5,0,0,0,3.500,0.000
75,2736,4096,12,3890280,5,0,0,0,3.500,0.000
76,2736,4096,12,3890280,5,0,0,0,3.500,0.000
77,2736,4096,12,3890280,5,0,0,0,3.500,0.000
78,2736,4096,12,3890280,5,0,0,0,3.500,0.000
79,2736,4096,12,3890280,5,0,0,0,3.500,0.000
80,2736,4096,12,3890280,5,0,0,0,3.500,0.000
81,2736,4096,12,3890280,5,0,0,0,3.500,0.000
82,2736,4096,12,3890280,5,0,0,0,3.500,0.000
83,2736,4096,12,3890280,5,0,0,0,3.500,0.000
84,2736,4096,12,3890280,5,0,0,0,3.500,0.000
85,2736,4096,12,3890280,5,0,0,0,3.500,0.000
